,No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,Year,Team,Result
88,5,Kevin Garnett,PF,6-11,240,"May 19, 1976",us,14,,2010,BOS,lost
89,4,J.R. Giddens,SF,6-5,215,"February 13, 1985",us,1,"Kansas, New Mexico",2010,BOS,lost
90,50,Eddie House,PG,6-1,180,"May 14, 1978",us,9,Arizona State,2010,BOS,lost
91,26,Lester Hudson,PG,6-3,190,"August 7, 1984",us,R,University of Tennessee at Martin,2010,BOS,lost
92,40,Oliver Lafayette,SG,6-2,190,"May 6, 1984",us,R,Houston,2010,BOS,lost
93,12,Marcus Landry,SF,6-7,230,"November 1, 1985",us,R,Wisconsin,2010,BOS,lost
94,43,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,6,,2010,BOS,lost
95,34,Paul Pierce,SF,6-7,235,"October 13, 1977",us,11,Kansas,2010,BOS,lost
96,4,Nate Robinson,PG,5-9,180,"May 31, 1984",us,4,Washington,2010,BOS,lost
97,9,Rajon Rondo,PG,6-1,180,"February 22, 1986",us,3,Kentucky,2010,BOS,lost
98,44,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us,8,USC,2010,BOS,lost
99,12,Henry Walker,SF,6-6,220,"October 9, 1987",us,1,Kansas State,2010,BOS,lost
100,30,Rasheed Wallace,C,6-10,225,"September 17, 1974",us,14,UNC,2010,BOS,lost
101,13,Shelden Williams,PF,6-9,250,"October 21, 1983",us,3,Duke,2010,BOS,lost
102,50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,3,UNLV,2011,MIA,lost
103,8,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr,8,Florida International University,2011,MIA,lost
104,0,Mike Bibby,PG,6-1,190,"May 13, 1978",us,12,Arizona,2011,MIA,lost
105,1,Chris Bosh,PF,6-11,235,"March 24, 1984",us,7,Georgia Tech,2011,MIA,lost
106,15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,2,Kansas,2011,MIA,lost
107,25,Erick Dampier,C,6-11,265,"July 14, 1975",us,14,Mississippi State,2011,MIA,lost
108,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,7,Florida,2011,MIA,lost
109,55,Eddie House,SG,6-1,180,"May 14, 1978",us,10,Arizona State,2011,MIA,lost
110,5,Juwan Howard,PF,6-9,240,"February 7, 1973",us,16,Michigan,2011,MIA,lost
111,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt,12,,2011,MIA,lost
112,6,LeBron James,SF,6-9,250,"December 30, 1984",us,7,,2011,MIA,lost
113,22,James Jones,SF,6-8,218,"October 4, 1980",us,7,Miami (FL),2011,MIA,lost
114,21,Jamaal Magloire,C,6-11,259,"May 21, 1978",ca,10,Kentucky,2011,MIA,lost
115,13,Mike Miller,SG,6-8,218,"February 19, 1980",us,10,Florida,2011,MIA,lost
116,45,Dexter Pittman,C,6-11,308,"March 2, 1988",us,R,Texas,2011,MIA,lost
117,42,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",us,15,UNC,2011,MIA,lost
118,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,7,Marquette,2011,MIA,lost
119,45,Cole Aldrich,C,6-11,250,"October 31, 1988",us,1,Kansas,2012,OKC,lost
120,4,Nick Collison,PF,6-10,255,"October 26, 1980",us,7,Kansas,2012,OKC,lost
121,14,Daequan Cook,SG,6-5,205,"April 28, 1987",us,4,Ohio State,2012,OKC,lost
122,35,Kevin Durant,SF,6-10,240,"September 29, 1988",us,4,Texas,2012,OKC,lost
123,37,Derek Fisher,PG,6-1,200,"August 9, 1974",us,15,Little Rock,2012,OKC,lost
124,13,James Harden,SG,6-5,220,"August 26, 1989",us,2,Arizona State,2012,OKC,lost
125,11,Lazar Hayward,SF,6-6,225,"November 26, 1986",us,1,Marquette,2012,OKC,lost
126,9,Serge Ibaka,PF,6-10,235,"September 18, 1989",cg,2,,2012,OKC,lost
127,7,Royal Ivey,SG,6-3,200,"December 20, 1981",us,7,Texas,2012,OKC,lost
128,15,Reggie Jackson,PG,6-2,208,"April 16, 1990",it,R,Boston College,2012,OKC,lost
129,6,Eric Maynor,PG,6-3,175,"June 11, 1987",us,2,VCU,2012,OKC,lost
130,8,Nazr Mohammed,C,6-10,221,"September 5, 1977",us,13,Kentucky,2012,OKC,lost
131,5,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,8,,2012,OKC,lost
132,33,Ryan Reid,PF,6-8,232,"October 30, 1986",us,R,Florida State,2012,OKC,lost
133,2,Thabo Sefolosha,SG,6-6,215,"May 2, 1984",ch,5,,2012,OKC,lost
134,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,3,UCLA,2012,OKC,lost
135,11,James Anderson,SF,6-6,213,"March 25, 1989",us,2,Oklahoma State,2013,SAS,lost
136,16,Aron Baynes,C,6-10,260,"December 9, 1986",nz,R,Washington State,2013,SAS,lost
137,45,DeJuan Blair,PF,6-7,270,"April 22, 1989",us,3,Pitt,2013,SAS,lost
138,15,Matt Bonner,PF,6-10,235,"April 5, 1980",us,8,Florida,2013,SAS,lost
139,25,Nando De Colo,SG,6-5,200,"June 23, 1987",fr,R,,2013,SAS,lost
140,33,Boris Diaw,PF,6-8,250,"April 16, 1982",fr,9,,2013,SAS,lost
141,21,Tim Duncan,C,6-11,250,"April 25, 1976",vi,15,Wake Forest,2013,SAS,lost
142,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar,10,,2013,SAS,lost
143,4,Danny Green,SG,6-6,215,"June 22, 1987",us,3,UNC,2013,SAS,lost
144,3,Stephen Jackson,SF,6-8,218,"April 5, 1978",us,12,Butler County Community College,2013,SAS,lost
145,5,Cory Joseph,PG,6-3,200,"August 20, 1991",ca,1,Texas,2013,SAS,lost
146,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,1,San Diego State,2013,SAS,lost
147,1,Tracy McGrady,SF,6-8,210,"May 24, 1979",us,15,,2013,SAS,lost
148,8,Patty Mills,PG,6-1,180,"August 11, 1988",au,3,Saint Mary's,2013,SAS,lost
149,14,Gary Neal,SG,6-4,210,"October 3, 1984",us,2,"La Salle, Towson University",2013,SAS,lost
150,9,Tony Parker,PG,6-2,185,"May 17, 1982",be,11,,2013,SAS,lost
151,22,Tiago Splitter,PF,6-11,245,"January 1, 1985",br,2,,2013,SAS,lost
152,34,Ray Allen,SG,6-5,205,"July 20, 1975",us,17,UConn,2014,MIA,lost
153,11,Chris Andersen,C,6-10,245,"July 7, 1978",us,11,Blinn College,2014,MIA,lost
154,50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,6,UNLV,2014,MIA,lost
155,31,Shane Battier,SF,6-8,220,"September 9, 1978",us,12,Duke,2014,MIA,lost
156,8,Michael Beasley,SF,6-9,235,"January 9, 1989",us,5,Kansas State,2014,MIA,lost
157,1,Chris Bosh,C,6-11,235,"March 24, 1984",us,10,Georgia Tech,2014,MIA,lost
158,15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,5,Kansas,2014,MIA,lost
159,30,Norris Cole,PG,6-2,175,"October 13, 1988",us,2,Cleveland State University,2014,MIA,lost
160,0,Toney Douglas,PG,6-2,195,"March 16, 1986",us,4,"Auburn, Florida State",2014,MIA,lost
161,7,Justin Hamilton,C,7-0,260,"April 1, 1990",us,R,"Iowa State, LSU",2014,MIA,lost
162,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,10,Florida,2014,MIA,lost
163,6,LeBron James,PF,6-9,250,"December 30, 1984",us,10,,2014,MIA,lost
164,22,James Jones,SF,6-8,218,"October 4, 1980",us,10,Miami (FL),2014,MIA,lost
165,9,Rashard Lewis,SF,6-10,215,"August 8, 1979",us,15,,2014,MIA,lost
166,14,DeAndre Liggins,SG,6-6,209,"March 31, 1988",us,2,Kentucky,2014,MIA,lost
167,21,Roger Mason,SG,6-5,200,"September 10, 1980",us,9,Virginia,2014,MIA,lost
168,20,Greg Oden,C,7-0,250,"January 22, 1988",us,2,Ohio State,2014,MIA,lost
169,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,10,Marquette,2014,MIA,lost
170,89,Lou Amundson,PF,6-9,220,"December 7, 1982",us,8,UNLV,2015,CLE,lost
171,5,Will Cherry,PG,6-0,185,"February 8, 1991",us,R,Montana,2015,CLE,lost
172,8,Matthew Dellavedova,SG,6-3,200,"September 8, 1990",au,1,Saint Mary's,2015,CLE,lost
173,12,Joe Harris,SG,6-6,220,"September 6, 1991",us,R,Virginia,2015,CLE,lost
174,33,Brendan Haywood,C,7-0,268,"November 27, 1979",us,12,UNC,2015,CLE,lost
175,2,Kyrie Irving,PG,6-2,195,"March 23, 1992",au,3,Duke,2015,CLE,lost
176,23,LeBron James,SF,6-9,250,"December 30, 1984",us,11,,2015,CLE,lost
177,1,James Jones,SF,6-8,218,"October 4, 1980",us,11,Miami (FL),2015,CLE,lost
178,53,Alex Kirk,C,7-0,245,"November 14, 1991",us,R,New Mexico,2015,CLE,lost
179,0,Kevin Love,PF,6-8,251,"September 7, 1988",us,6,UCLA,2015,CLE,lost
180,31,Shawn Marion,SF,6-7,220,"May 7, 1978",us,15,UNLV,2015,CLE,lost
181,18,Mike Miller,SF,6-8,218,"February 19, 1980",us,14,Florida,2015,CLE,lost
182,20,Timofey Mozgov,C,7-1,275,"July 16, 1986",ru,4,,2015,CLE,lost
183,3,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,11,,2015,CLE,lost
184,21,A.J. Price,PG,6-2,181,"October 7, 1986",us,5,UConn,2015,CLE,lost
185,4,Iman Shumpert,SG,6-5,215,"June 26, 1990",us,3,Georgia Tech,2015,CLE,lost
186,5,J.R. Smith,SG,6-6,225,"September 9, 1985",us,10,,2015,CLE,lost
187,13,Tristan Thompson,PF,6-9,254,"March 13, 1991",ca,3,Texas,2015,CLE,lost
188,17,Anderson Varejão,C,6-10,273,"September 28, 1982",br,10,,2015,CLE,lost
189,3,Dion Waiters,SG,6-3,215,"December 10, 1991",us,2,Syracuse,2015,CLE,lost
