,No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,Year,Team,Result
23,24,Jason Kapono,SF,6-8,213,"February 4, 1981",us,2,UCLA,2006,MIA,win
24,33,Alonzo Mourning,C,6-10,240,"February 8, 1970",us,12,Georgetown,2006,MIA,win
25,32,Shaquille O'Neal,C,7-1,325,"March 6, 1972",us,13,LSU,2006,MIA,win
26,20,Gary Payton,PG,6-4,180,"July 23, 1968",us,15,Oregon State,2006,MIA,win
27,42,James Posey,SF,6-8,215,"January 13, 1977",us,6,Xavier,2006,MIA,win
28,25,Wayne Simien,PF,6-9,255,"March 9, 1983",us,R,Kansas,2006,MIA,win
29,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,2,Marquette,2006,MIA,win
30,8,Antoine Walker,PF,6-8,224,"August 12, 1976",us,9,Kentucky,2006,MIA,win
31,44,Matt Walsh,SG,6-6,205,"December 2, 1982",us,R,Florida,2006,MIA,win
32,55,Jason Williams,PG,6-1,190,"November 18, 1975",us,7,"Marshall, Florida",2006,MIA,win
33,1,Dorell Wright,SF,6-9,205,"December 2, 1985",us,1,,2006,MIA,win
34,17,Brent Barry,SG,6-6,185,"December 31, 1971",us,11,Oregon State,2007,SAS,win
35,15,Matt Bonner,PF,6-10,235,"April 5, 1980",us,2,Florida,2007,SAS,win
36,12,Bruce Bowen,SF,6-7,185,"June 14, 1971",us,10,Cal State Fullerton,2007,SAS,win
37,45,Jackie Butler,C,6-10,250,"March 10, 1985",us,2,,2007,SAS,win
38,21,Tim Duncan,C,6-11,250,"April 25, 1976",vi,9,Wake Forest,2007,SAS,win
39,16,Francisco Elson,C,7-0,235,"February 28, 1976",nl,3,California,2007,SAS,win
40,2,Melvin Ely,C,6-10,260,"May 2, 1978",us,4,Fresno State,2007,SAS,win
41,4,Michael Finley,SF,6-7,215,"March 6, 1973",us,11,Wisconsin,2007,SAS,win
42,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar,4,,2007,SAS,win
43,5,Robert Horry,PF,6-10,240,"August 25, 1970",us,14,Alabama,2007,SAS,win
44,7,Fabricio Oberto,C,6-10,245,"March 21, 1975",ar,1,,2007,SAS,win
45,9,Tony Parker,PG,6-2,185,"May 17, 1982",be,5,,2007,SAS,win
46,14,Beno Udrih,PG,6-3,205,"July 5, 1982",si,2,,2007,SAS,win
47,11,Jacque Vaughn,PG,6-1,190,"February 11, 1975",us,9,Kansas,2007,SAS,win
48,33,James White,SG,6-7,200,"October 21, 1982",us,R,"Florida, Cincinnati",2007,SAS,win
49,55,Eric Williams,SF,6-8,220,"July 17, 1972",us,11,Providence,2007,SAS,win
50,20,Ray Allen,SG,6-5,205,"July 20, 1975",us,11,UConn,2008,BOS,win
51,42,Tony Allen,SG,6-4,213,"January 11, 1982",us,3,"Butler County Community College, Oklahoma State",2008,BOS,win
52,93,P.J. Brown,PF,6-11,225,"October 14, 1969",us,14,Louisiana Tech,2008,BOS,win
53,28,Sam Cassell,PG,6-3,185,"November 18, 1969",us,14,Florida State,2008,BOS,win
54,11,Glen Davis,C,6-9,289,"January 1, 1986",us,R,LSU,2008,BOS,win
55,5,Kevin Garnett,PF,6-11,240,"May 19, 1976",us,12,,2008,BOS,win
56,50,Eddie House,PG,6-1,180,"May 14, 1978",us,7,Arizona State,2008,BOS,win
57,43,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,4,,2008,BOS,win
58,34,Paul Pierce,SF,6-7,235,"October 13, 1977",us,9,Kansas,2008,BOS,win
59,66,Scot Pollard,C,6-11,265,"February 12, 1975",us,10,Kansas,2008,BOS,win
60,41,James Posey,PF,6-8,215,"January 13, 1977",us,8,Xavier,2008,BOS,win
61,0,Leon Powe,C,6-8,240,"January 22, 1984",us,1,California,2008,BOS,win
62,13,Gabe Pruitt,PG,6-4,170,"April 19, 1986",us,R,USC,2008,BOS,win
63,9,Rajon Rondo,PG,6-1,180,"February 22, 1986",us,1,Kentucky,2008,BOS,win
64,44,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us,6,USC,2008,BOS,win
65,3,Trevor Ariza,SF,6-8,215,"June 30, 1985",us,4,UCLA,2009,LAL,win
66,12,Shannon Brown,SG,6-4,205,"November 29, 1985",us,2,Michigan State,2009,LAL,win
67,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us,12,,2009,LAL,win
68,17,Andrew Bynum,C,7-0,285,"October 27, 1987",us,3,,2009,LAL,win
69,5,Jordan Farmar,PG,6-2,180,"November 30, 1986",us,2,UCLA,2009,LAL,win
70,2,Derek Fisher,PG,6-1,200,"August 9, 1974",us,12,Little Rock,2009,LAL,win
71,16,Pau Gasol,C,7-0,250,"July 6, 1980",es,7,,2009,LAL,win
72,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,4,,2009,LAL,win
73,31,Chris Mihm,C,7-0,265,"July 16, 1979",us,7,Texas,2009,LAL,win
74,6,Adam Morrison,SF,6-8,205,"July 19, 1984",us,1,Gonzaga,2009,LAL,win
75,7,Lamar Odom,PF,6-10,220,"November 6, 1979",us,9,Rhode Island,2009,LAL,win
76,21,Josh Powell,PF,6-9,225,"January 25, 1983",us,3,NC State,2009,LAL,win
77,10,Vladimir Radmanović,SF,6-10,227,"November 19, 1980",ba,7,,2009,LAL,win
78,18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,4,,2009,LAL,win
79,4,Luke Walton,SF,6-8,235,"March 28, 1980",us,5,Arizona,2009,LAL,win
80,9,Sun Yue,SG,6-9,205,"November 6, 1985",cn,R,,2009,LAL,win
81,12,Shannon Brown,SG,6-4,205,"November 29, 1985",us,3,Michigan State,2010,LAL,win
82,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us,13,,2010,LAL,win
83,17,Andrew Bynum,C,7-0,285,"October 27, 1987",us,4,,2010,LAL,win
84,1,Jordan Farmar,PG,6-2,180,"November 30, 1986",us,3,UCLA,2010,LAL,win
85,2,Derek Fisher,PG,6-1,200,"August 9, 1974",us,13,Little Rock,2010,LAL,win
86,16,Pau Gasol,C,7-0,250,"July 6, 1980",es,8,,2010,LAL,win
87,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,5,,2010,LAL,win
88,6,Adam Morrison,SF,6-8,205,"July 19, 1984",us,2,Gonzaga,2010,LAL,win
89,7,Lamar Odom,PF,6-10,220,"November 6, 1979",us,10,Rhode Island,2010,LAL,win
90,21,Josh Powell,PF,6-9,225,"January 25, 1983",us,4,NC State,2010,LAL,win
91,18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,5,,2010,LAL,win
92,4,Luke Walton,SF,6-8,235,"March 28, 1980",us,6,Arizona,2010,LAL,win
93,37,Metta World Peace,SF,6-6,260,"November 13, 1979",us,10,St. John's,2010,LAL,win
94,8,Alexis Ajinça,C,7-2,248,"May 6, 1988",fr,2,,2011,DAL,win
95,11,J.J. Barea,PG,5-10,180,"June 26, 1984",pr,4,Northeastern University,2011,DAL,win
96,3,Rodrigue Beaubois,PG,6-0,170,"February 24, 1988",gp,1,,2011,DAL,win
97,13,Corey Brewer,SG,6-9,186,"March 5, 1986",us,3,Florida,2011,DAL,win
98,4,Caron Butler,SF,6-7,228,"March 13, 1980",us,8,UConn,2011,DAL,win
99,35,Brian Cardinal,SF,6-8,245,"May 2, 1977",us,10,Purdue,2011,DAL,win
100,6,Tyson Chandler,C,7-0,235,"October 2, 1982",us,9,,2011,DAL,win
101,33,Brendan Haywood,C,7-0,268,"November 27, 1979",us,9,UNC,2011,DAL,win
102,20,Dominique Jones,SG,6-4,215,"October 15, 1988",us,R,South Florida,2011,DAL,win
103,2,Jason Kidd,PG,6-4,205,"March 23, 1973",us,16,California,2011,DAL,win
104,28,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr,2,,2011,DAL,win
105,0,Shawn Marion,SF,6-7,220,"May 7, 1978",us,11,UNLV,2011,DAL,win
106,21,Steve Novak,SF,6-10,225,"June 13, 1983",us,4,Marquette,2011,DAL,win
107,41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",de,12,,2011,DAL,win
108,7,Sasha Pavlović,SF,6-8,220,"November 15, 1983",me,7,,2011,DAL,win
109,92,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",us,10,,2011,DAL,win
110,16,Peja Stojaković,SF,6-10,229,"June 9, 1977",hr,12,,2011,DAL,win
111,31,Jason Terry,SG,6-2,185,"September 15, 1977",us,11,Arizona,2011,DAL,win
112,50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,4,UNLV,2012,MIA,win
113,31,Shane Battier,SF,6-8,220,"September 9, 1978",us,10,Duke,2012,MIA,win
114,1,Chris Bosh,PF,6-11,235,"March 24, 1984",us,8,Georgia Tech,2012,MIA,win
115,15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,3,Kansas,2012,MIA,win
116,30,Norris Cole,PG,6-2,175,"October 13, 1988",us,R,Cleveland State University,2012,MIA,win
117,34,Eddy Curry,C,7-0,295,"December 5, 1982",us,9,,2012,MIA,win
118,32,Mickell Gladness,PF,6-11,220,"July 26, 1986",us,R,Alabama A&M University,2012,MIA,win
119,14,Terrel Harris,SG,6-5,190,"August 10, 1987",us,R,Oklahoma State,2012,MIA,win
120,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,8,Florida,2012,MIA,win
121,5,Juwan Howard,PF,6-9,240,"February 7, 1973",us,17,Michigan,2012,MIA,win
122,6,LeBron James,SF,6-9,250,"December 30, 1984",us,8,,2012,MIA,win
123,22,James Jones,SG,6-8,218,"October 4, 1980",us,8,Miami (FL),2012,MIA,win
124,13,Mike Miller,SG,6-8,218,"February 19, 1980",us,11,Florida,2012,MIA,win
125,45,Dexter Pittman,C,6-11,308,"March 2, 1988",us,1,Texas,2012,MIA,win
126,21,Ronny Turiaf,C,6-10,249,"January 13, 1983",mq,6,Gonzaga,2012,MIA,win
127,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,8,Marquette,2012,MIA,win
128,34,Ray Allen,SG,6-5,205,"July 20, 1975",us,16,UConn,2013,MIA,win
129,11,Chris Andersen,C,6-10,245,"July 7, 1978",us,10,Blinn College,2013,MIA,win
130,50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,5,UNLV,2013,MIA,win
131,31,Shane Battier,SF,6-8,220,"September 9, 1978",us,11,Duke,2013,MIA,win
132,1,Chris Bosh,C,6-11,235,"March 24, 1984",us,9,Georgia Tech,2013,MIA,win
133,15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,4,Kansas,2013,MIA,win
134,30,Norris Cole,PG,6-2,175,"October 13, 1988",us,1,Cleveland State University,2013,MIA,win
135,55,Josh Harrellson,C,6-10,275,"February 12, 1989",us,1,Kentucky,2013,MIA,win
136,14,Terrel Harris,SG,6-5,190,"August 10, 1987",us,1,Oklahoma State,2013,MIA,win
137,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,9,Florida,2013,MIA,win
138,5,Juwan Howard,PF,6-9,240,"February 7, 1973",us,18,Michigan,2013,MIA,win
139,6,LeBron James,PF,6-9,250,"December 30, 1984",us,9,,2013,MIA,win
140,22,James Jones,SF,6-8,218,"October 4, 1980",us,9,Miami (FL),2013,MIA,win
141,9,Rashard Lewis,PF,6-10,215,"August 8, 1979",us,14,,2013,MIA,win
142,13,Mike Miller,SF,6-8,218,"February 19, 1980",us,12,Florida,2013,MIA,win
143,45,Dexter Pittman,C,6-11,308,"March 2, 1988",us,2,Texas,2013,MIA,win
144,24,Jarvis Varnado,PF,6-9,230,"March 1, 1988",us,R,Mississippi State,2013,MIA,win
145,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,9,Marquette,2013,MIA,win
146,11,Jeff Ayres,PF,6-9,240,"April 29, 1987",us,3,Arizona State,2014,SAS,win
147,16,Aron Baynes,C,6-10,260,"December 9, 1986",nz,1,Washington State,2014,SAS,win
148,3,Marco Belinelli,SF,6-5,220,"March 25, 1986",it,6,,2014,SAS,win
149,15,Matt Bonner,PF,6-10,235,"April 5, 1980",us,9,Florida,2014,SAS,win
150,1,Shannon Brown,SG,6-4,205,"November 29, 1985",us,7,Michigan State,2014,SAS,win
151,23,Austin Daye,SF,6-11,220,"June 5, 1988",us,4,Gonzaga,2014,SAS,win
152,25,Nando De Colo,SF,6-5,200,"June 23, 1987",fr,1,,2014,SAS,win
153,33,Boris Diaw,PF,6-8,250,"April 16, 1982",fr,10,,2014,SAS,win
154,21,Tim Duncan,C,6-11,250,"April 25, 1976",vi,16,Wake Forest,2014,SAS,win
155,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar,11,,2014,SAS,win
156,4,Danny Green,SG,6-6,215,"June 22, 1987",us,4,UNC,2014,SAS,win
157,7,Damion James,SF,6-7,225,"October 7, 1987",us,3,Texas,2014,SAS,win
158,7,Othyus Jeffers,SG,6-5,200,"August 5, 1985",us,2,"University of Illinois at Chicago, Robert Morris University (IL)",2014,SAS,win
159,5,Cory Joseph,SG,6-3,200,"August 20, 1991",ca,2,Texas,2014,SAS,win
160,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,2,San Diego State,2014,SAS,win
161,8,Patty Mills,PG,6-1,180,"August 11, 1988",au,4,Saint Mary's,2014,SAS,win
162,9,Tony Parker,PG,6-2,185,"May 17, 1982",be,12,,2014,SAS,win
163,22,Tiago Splitter,C,6-11,245,"January 1, 1985",br,3,,2014,SAS,win
164,24,Malcolm Thomas,PF,6-9,225,"November 8, 1988",us,2,"Pepperdine, San Diego State",2014,SAS,win
165,19,Leandro Barbosa,SG,6-3,194,"November 28, 1982",br,11,,2015,GSW,win
166,40,Harrison Barnes,SF,6-8,225,"May 30, 1992",us,2,UNC,2015,GSW,win
167,12,Andrew Bogut,C,7-0,260,"November 28, 1984",au,9,Utah,2015,GSW,win
168,30,Stephen Curry,PG,6-3,185,"March 14, 1988",us,5,Davidson,2015,GSW,win
169,31,Festus Ezeli,C,6-11,255,"October 21, 1989",ng,1,Vanderbilt,2015,GSW,win
170,23,Draymond Green,PF,6-6,230,"March 4, 1990",us,2,Michigan State,2015,GSW,win
171,7,Justin Holiday,SG,6-6,180,"April 5, 1989",us,1,Washington,2015,GSW,win
172,9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,10,Arizona,2015,GSW,win
173,1,Ognjen Kuzmić,C,7-1,251,"May 16, 1990",ba,1,,2015,GSW,win
174,10,David Lee,PF,6-9,245,"April 29, 1983",us,9,Florida,2015,GSW,win
175,34,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,9,,2015,GSW,win
176,20,James Michael McAdoo,PF,6-9,230,"January 4, 1993",us,R,UNC,2015,GSW,win
177,4,Brandon Rush,SG,6-6,220,"July 7, 1985",us,6,Kansas,2015,GSW,win
178,5,Marreese Speights,C,6-10,255,"August 4, 1987",us,6,Florida,2015,GSW,win
179,11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,3,Washington State,2015,GSW,win
180,30,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr,3,Florida International University,2005,DET,lost
181,1,Chauncey Billups,PG,6-3,202,"September 25, 1976",us,7,Colorado,2005,DET,lost
182,41,Elden Campbell,C,6-11,215,"July 23, 1968",us,14,Clemson,2005,DET,lost
183,44,Derrick Coleman,C,6-10,230,"June 21, 1967",us,14,Syracuse,2005,DET,lost
184,20,Carlos Delfino,SG,6-6,230,"August 29, 1982",ar,R,,2005,DET,lost
185,12,Ronald Dupree,SF,6-7,209,"January 26, 1981",us,1,LSU,2005,DET,lost
186,7,Anthony Goldwire,PG,6-1,182,"September 6, 1971",us,6,Houston,2005,DET,lost
187,8,Darvin Ham,SF,6-7,220,"July 23, 1973",us,7,Texas Tech,2005,DET,lost
188,32,Richard Hamilton,SG,6-6,185,"February 14, 1978",us,5,UConn,2005,DET,lost
189,10,Lindsey Hunter,SG,6-2,170,"December 3, 1970",us,11,"Alcorn State, Jackson State University",2005,DET,lost
190,5,Horace Jenkins,PG,6-1,180,"October 14, 1974",us,R,William Paterson University,2005,DET,lost
191,24,Antonio McDyess,PF,6-9,220,"September 7, 1974",us,8,Alabama,2005,DET,lost
192,31,Darko Miličić,C,7-0,250,"June 20, 1985",rs,1,,2005,DET,lost
193,7,Smush Parker,PG,6-4,190,"June 1, 1981",us,1,Fordham,2005,DET,lost
194,22,Tayshaun Prince,SF,6-9,212,"February 28, 1980",us,2,Kentucky,2005,DET,lost
195,3,Ben Wallace,C,6-9,240,"September 10, 1974",us,8,Virginia Union University,2005,DET,lost
196,36,Rasheed Wallace,PF,6-10,225,"September 17, 1974",us,9,UNC,2005,DET,lost
197,10,Darrell Armstrong,PG,6-0,170,"June 22, 1968",us,11,Fayetteville State University,2006,DAL,lost
198,13,Doug Christie,SG,6-6,200,"May 9, 1970",us,13,Pepperdine,2006,DAL,lost
199,25,Erick Dampier,C,6-11,265,"July 14, 1975",us,9,Mississippi State,2006,DAL,lost
200,6,Marquis Daniels,SG,6-6,200,"January 7, 1981",us,2,Auburn,2006,DAL,lost
201,7,DeSagana Diop,C,7-0,300,"January 30, 1982",sn,4,,2006,DAL,lost
202,44,Adrian Griffin,SG,6-5,217,"July 4, 1974",us,6,Seton Hall,2006,DAL,lost
203,34,Devin Harris,PG,6-3,185,"February 27, 1983",us,1,Wisconsin,2006,DAL,lost
204,5,Josh Howard,SF,6-7,210,"April 28, 1980",us,2,Wake Forest,2006,DAL,lost
205,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,1,,2006,DAL,lost
206,1,Rawle Marshall,SF,6-9,190,"February 20, 1982",gy,R,"Ball State University, Oakland",2006,DAL,lost
207,41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",de,7,,2006,DAL,lost
208,24,Pavel Podkolzin,C,7-5,260,"January 15, 1985",ru,1,,2006,DAL,lost
209,33,Josh Powell,PF,6-9,225,"January 25, 1983",us,R,NC State,2006,DAL,lost
210,42,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",us,10,UNC,2006,DAL,lost
211,31,Jason Terry,PG,6-2,185,"September 15, 1977",us,6,Arizona,2006,DAL,lost
212,2,Keith Van Horn,SF,6-10,220,"October 23, 1975",us,8,Utah,2006,DAL,lost
213,6,Shannon Brown,SG,6-4,205,"November 29, 1985",us,R,Michigan State,2007,CLE,lost
214,1,Daniel Gibson,PG,6-2,190,"February 27, 1986",us,R,Texas,2007,CLE,lost
215,90,Drew Gooden,PF,6-10,250,"September 24, 1981",us,4,Kansas,2007,CLE,lost
216,32,Larry Hughes,SG,6-5,184,"January 23, 1979",us,8,Saint Louis,2007,CLE,lost
217,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt,8,,2007,CLE,lost
218,23,LeBron James,SF,6-9,250,"December 30, 1984",us,3,,2007,CLE,lost
219,19,Damon Jones,PG,6-3,185,"August 25, 1976",us,8,Houston,2007,CLE,lost
220,27,Dwayne Jones,PF,6-11,250,"June 9, 1983",us,1,Saint Joseph's,2007,CLE,lost
221,24,Donyell Marshall,PF,6-9,218,"May 18, 1973",us,12,UConn,2007,CLE,lost
222,14,Ira Newble,SF,6-7,220,"January 20, 1975",us,6,Miami University,2007,CLE,lost
223,3,Sasha Pavlović,SG,6-8,220,"November 15, 1983",me,3,,2007,CLE,lost
224,31,Scot Pollard,C,6-11,265,"February 12, 1975",us,9,Kansas,2007,CLE,lost
225,20,Eric Snow,PG,6-3,190,"April 24, 1973",us,11,Michigan State,2007,CLE,lost
226,17,Anderson Varejão,C,6-10,273,"September 28, 1982",br,2,,2007,CLE,lost
227,4,David Wesley,SG,6-0,190,"November 14, 1970",us,13,Baylor,2007,CLE,lost
228,3,Trevor Ariza,SF,6-8,215,"June 30, 1985",us,3,UCLA,2008,LAL,lost
229,54,Kwame Brown,C,6-11,270,"March 10, 1982",us,6,,2008,LAL,lost
230,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us,11,,2008,LAL,lost
231,17,Andrew Bynum,C,7-0,285,"October 27, 1987",us,2,,2008,LAL,lost
232,43,Brian Cook,PF,6-9,234,"December 4, 1980",us,4,Illinois,2008,LAL,lost
233,1,Javaris Crittenton,SG,6-5,200,"December 31, 1987",us,R,Georgia Tech,2008,LAL,lost
234,6,Maurice Evans,SG,6-5,220,"November 8, 1978",us,4,"Wichita State, Texas",2008,LAL,lost
235,5,Jordan Farmar,PG,6-2,180,"November 30, 1986",us,1,UCLA,2008,LAL,lost
236,2,Derek Fisher,PG,6-1,200,"August 9, 1974",us,11,Little Rock,2008,LAL,lost
237,16,Pau Gasol,C,7-0,250,"July 6, 1980",es,6,,2008,LAL,lost
238,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,3,,2008,LAL,lost
239,11,Coby Karl,SG,6-5,215,"March 6, 1983",us,R,Boise State,2008,LAL,lost
240,31,Chris Mihm,C,7-0,265,"July 16, 1979",us,6,Texas,2008,LAL,lost
241,14,Ira Newble,SF,6-7,220,"January 20, 1975",us,7,Miami University,2008,LAL,lost
242,7,Lamar Odom,PF,6-10,220,"November 6, 1979",us,8,Rhode Island,2008,LAL,lost
243,10,Vladimir Radmanović,SF,6-10,227,"November 19, 1980",ba,6,,2008,LAL,lost
244,21,Ronny Turiaf,C,6-10,249,"January 13, 1983",mq,2,Gonzaga,2008,LAL,lost
245,18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,3,,2008,LAL,lost
246,4,Luke Walton,SF,6-8,235,"March 28, 1980",us,4,Arizona,2008,LAL,lost
247,1,Rafer Alston,PG,6-2,171,"July 24, 1976",us,9,Fresno State,2009,ORL,lost
248,4,Tony Battie,PF,6-11,230,"February 11, 1976",us,10,Texas Tech,2009,ORL,lost
249,10,Keith Bogans,SG,6-5,215,"May 12, 1980",us,5,Kentucky,2009,ORL,lost
250,34,Brian Cook,PF,6-9,234,"December 4, 1980",us,5,Illinois,2009,ORL,lost
251,31,Adonal Foyle,C,6-10,250,"March 9, 1975",vc,11,Colgate,2009,ORL,lost
252,13,Marcin Gortat,PF,6-11,240,"February 17, 1984",pl,1,,2009,ORL,lost
253,12,Dwight Howard,C,6-10,265,"December 8, 1985",us,4,,2009,ORL,lost
254,8,Anthony Johnson,PG,6-3,190,"October 2, 1974",us,11,College of Charleston,2009,ORL,lost
255,11,Courtney Lee,SG,6-5,215,"October 3, 1985",us,R,Western Kentucky,2009,ORL,lost
256,9,Rashard Lewis,PF,6-10,215,"August 8, 1979",us,10,,2009,ORL,lost
257,10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us,10,Nebraska,2009,ORL,lost
258,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",us,4,Saint Joseph's,2009,ORL,lost
259,20,Mickaël Piétrus,SG,6-6,215,"February 7, 1982",gp,5,,2009,ORL,lost
260,7,J.J. Redick,SG,6-3,200,"June 24, 1984",us,2,Duke,2009,ORL,lost
261,32,Jeremy Richardson,SF,6-6,185,"February 11, 1984",us,2,Delta State University,2009,ORL,lost
262,15,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",tr,8,,2009,ORL,lost
263,20,Ray Allen,SG,6-5,205,"July 20, 1975",us,13,UConn,2010,BOS,lost
264,42,Tony Allen,SG,6-4,213,"January 11, 1982",us,5,"Butler County Community College, Oklahoma State",2010,BOS,lost
265,7,Marquis Daniels,SF,6-6,200,"January 7, 1981",us,6,Auburn,2010,BOS,lost
266,11,Glen Davis,PF,6-9,289,"January 1, 1986",us,2,LSU,2010,BOS,lost
267,40,Michael Finley,SF,6-7,215,"March 6, 1973",us,14,Wisconsin,2010,BOS,lost
268,5,Kevin Garnett,PF,6-11,240,"May 19, 1976",us,14,,2010,BOS,lost
269,4,J.R. Giddens,SF,6-5,215,"February 13, 1985",us,1,"Kansas, New Mexico",2010,BOS,lost
270,50,Eddie House,PG,6-1,180,"May 14, 1978",us,9,Arizona State,2010,BOS,lost
271,26,Lester Hudson,PG,6-3,190,"August 7, 1984",us,R,University of Tennessee at Martin,2010,BOS,lost
272,40,Oliver Lafayette,SG,6-2,190,"May 6, 1984",us,R,Houston,2010,BOS,lost
273,12,Marcus Landry,SF,6-7,230,"November 1, 1985",us,R,Wisconsin,2010,BOS,lost
274,43,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,6,,2010,BOS,lost
275,34,Paul Pierce,SF,6-7,235,"October 13, 1977",us,11,Kansas,2010,BOS,lost
276,4,Nate Robinson,PG,5-9,180,"May 31, 1984",us,4,Washington,2010,BOS,lost
277,9,Rajon Rondo,PG,6-1,180,"February 22, 1986",us,3,Kentucky,2010,BOS,lost
278,44,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us,8,USC,2010,BOS,lost
279,12,Henry Walker,SF,6-6,220,"October 9, 1987",us,1,Kansas State,2010,BOS,lost
280,30,Rasheed Wallace,C,6-10,225,"September 17, 1974",us,14,UNC,2010,BOS,lost
281,13,Shelden Williams,PF,6-9,250,"October 21, 1983",us,3,Duke,2010,BOS,lost
282,50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,3,UNLV,2011,MIA,lost
283,8,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr,8,Florida International University,2011,MIA,lost
284,0,Mike Bibby,PG,6-1,190,"May 13, 1978",us,12,Arizona,2011,MIA,lost
285,1,Chris Bosh,PF,6-11,235,"March 24, 1984",us,7,Georgia Tech,2011,MIA,lost
286,15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,2,Kansas,2011,MIA,lost
